ocid,initiationType,tag,id,date,tender/id,tender/externalReference,tender/title,tender/mainProcurementCategory,tender/procurementMethod,tender/contractType,tenderclassification/description,tender/submissionMethodDetails,tender/participationFee/0/multiCurrencyAllowed,tender/allowTwoStageTender,tender/value/amount,tender/datePublished,tender/milestones/title,tender/milestones/code,tender/milestones/type,tender/milestones/dueDate,tender/tenderPeriod/durationInDays,tender/allowPreferentialBidder,Payment Mode,tender/status,tender/stage,tender/numberOfTenderers,tender/milestones/type.1,tender/milestones/title.1,tender/milestones/dueDate.1,tender/bidOpening/date,tender/documents/id,buyer/name,fiscal_year
ocds-kjhdrl-2021_PWD_19891_6,tender,tender,1,29-09-2022,2021_PWD_19891_6,TRC/SOPD-G/TEZPUR/2020-21,TRC/SOPD-G/BIS/06,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,11919684,01-04-2021 10:30,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,To be Opened,5,assessment,Price Bid Opening Date,NA,19-01-2021 11:00,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2021_PWD_19891_9,tender,tender,1,29-09-2022,2021_PWD_19891_9,TRC/SOPD-G/TEZPUR/2020-21,TRC/SOPD-G/BIS/09,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,9548716,01-04-2021 10:30,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Technical Bid Opening,3,assessment,Price Bid Opening Date,NA,19-01-2021 11:00,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2021_NHM_19920_1,tender,tender,1,29-09-2022,2021_NHM_19920_1,NHM-32049/1/2020-Construct,Renovation of existing BPHC Main Building New at Putia Sisiborgaon in Dhemaji District under NHM Assam,Works,Open Tender,Item Rate,Civil Works - Building,NA,No,No,9992617,01-04-2021 12:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,To be Opened,5,assessment,Price Bid Opening Date,NA,27-01-2021 14:30,NA,National Health Mission,2021-2022
ocds-kjhdrl-2021_PWD_19928_1,tender,tender,1,29-09-2022,2021_PWD_19928_1,SOPD-G/2020-21/S AND J/EE/03,SOPD-G/2020-21/S AND J/EE/03,Works,Open Tender,Item Rate,Civil Works,NA,No,No,189328000,01-04-2021 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Financial Bid Opening,2,assessment,Price Bid Opening Date,NA,13-01-2021 12:00,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2021_SSA_19927_1,tender,tender,1,29-09-2022,2021_SSA_19927_1,SSA_PrePri_Proc_36_2020_3755,SUPPLY OF TLM KIT,Goods,Open Tender,Supply,Supply of Materials,NA,No,No,101350000,01-04-2021 14:30,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,6,assessment,Price Bid Opening Date,NA,27-01-2021 15:00,NA,Axom Sarba Siksha Abhijan Mission,2021-2022
ocds-kjhdrl-2021_NHM_19937_1,tender,tender,1,29-09-2022,2021_NHM_19937_1,NHM/C-CW/Eye OT and eye ward/DH/3982/19/186,Construction of Eye OT and Eye ward at Howraghat CHC in Karbi Anglong District,Works,Open Tender,Turn-key,Civil Works - Building,NA,No,No,8000000,01-05-2021 09:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Technical Evaluation,4,assessment,Price Bid Opening Date,NA,19-01-2021 15:30,NA,National Health Mission,2021-2022
ocds-kjhdrl-2021_WPTBC_19932_1,tender,tender,1,29-09-2022,2021_WPTBC_19932_1,PTDC/Engg/2019-20/79,"Construction of Fishery at Sareen Beel Min Palan Co-operative Society Ltd. Regd. No. BTC (K)3, District Baska, Assam,Pin-781372 under Article 275 (1) of the constitution of India during the year 2019-20.",Works,Open Tender,Item Rate,Civil Works,NA,No,No,10000000,01-05-2021 11:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,120,No,Offline,NA,To be Opened,0,assessment,Price Bid Opening Date,NA,27-01-2021 15:30,NA,Welfare of Plain Tribes and Backward Classes,2021-2022
ocds-kjhdrl-2020_GMC_19667_9,tender,tender,1,29-09-2022,2020_GMC_19667_9,GER/CE/1840/2020/11 Dated 16/12/2020,Repairing and renovation of public toilet at GMC head office,Works,Open Tender,Lump-sum,Civil Works,NA,No,No,634700,01-05-2021 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,1,assessment,Price Bid Opening Date,NA,13-01-2021 14:00,NA,Guwahati Municipal Corporation,2021-2022
ocds-kjhdrl-2020_GMC_19667_10,tender,tender,1,29-09-2022,2020_GMC_19667_10,GER/CE/1840/2020/11 Dated 16/12/2020,Repairing of public toilet at A K Azad Road,Works,Open Tender,Lump-sum,Civil Works,NA,No,No,400000,01-05-2021 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,2,assessment,Price Bid Opening Date,NA,13-01-2021 14:00,NA,Guwahati Municipal Corporation,2021-2022
ocds-kjhdrl-2020_GMC_19668_7,tender,tender,1,29-09-2022,2020_GMC_19668_7,GER/CE/1840/2020/12 Dated 16/12/2020,Construction and maintenance of public toilet at Adabari,Works,Open Tender,EOI,Civil Works,NA,No,No,1250000,01-05-2021 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,1,assessment,Price Bid Opening Date,NA,13-01-2021 14:00,NA,Guwahati Municipal Corporation,2021-2022
